year,parent_entity,parent_type,commodity,production_value_ft,production_unit,total_emissions_MtCO2e,production_value
2021,Coterra Energy,Investor-owned Company,Oil & NGL,88.1114675,Million bbl/yr,35.1369057,88.1114675
2021,Coterra Energy,Investor-owned Company,Natural Gas,1224.2795,Bcf/yr,89.23821067,367.28385
2022,Coterra Energy,Investor-owned Company,Oil & NGL,60.623,Million bbl/yr,24.17511244,60.623
2022,Coterra Energy,Investor-owned Company,Natural Gas,1024,Bcf/yr,74.63975973,307.2
2002,CRH,Investor-owned Company,Cement,9,Million Tonnes CO2,5.40927,9
2003,CRH,Investor-owned Company,Cement,9.25,Million Tonnes CO2,5.59637025,9.25
2004,CRH,Investor-owned Company,Cement,9.68,Million Tonnes CO2,5.89559432,9.68
2005,CRH,Investor-owned Company,Cement,9.73,Million Tonnes CO2,5.96584247,9.73
2006,CRH,Investor-owned Company,Cement,9.86,Million Tonnes CO2,6.28406394,9.86
2007,CRH,Investor-owned Company,Cement,11.78,Million Tonnes CO2,7.59999658,11.78
2008,CRH,Investor-owned Company,Cement,13.12,Million Tonnes CO2,8.63698784,13.12
2009,CRH,Investor-owned Company,Cement,9.83,Million Tonnes CO2,6.58468448,9.83
2010,CRH,Investor-owned Company,Cement,10.14,Million Tonnes CO2,6.72796098,10.14
2011,CRH,Investor-owned Company,Cement,10.2,Million Tonnes CO2,6.8489226,10.2
2012,CRH,Investor-owned Company,Cement,8.23,Million Tonnes CO2,5.59320676,8.23
2013,CRH,Investor-owned Company,Cement,8.72,Million Tonnes CO2,5.98771008,8.72
2014,CRH,Investor-owned Company,Cement,9.08,Million Tonnes CO2,6.25535728,9.08
2015,CRH,Investor-owned Company,Cement,20.81,Million Tonnes CO2,14.38353904,20.81
2016,CRH,Investor-owned Company,Cement,20.9,Million Tonnes CO2,14.4934394,20.9
2017,CRH,Investor-owned Company,Cement,21.4,Million Tonnes CO2,14.8893496,21.4
2018,CRH,Investor-owned Company,Cement,28.1,Million Tonnes CO2,19.6159637,28.1
2019,CRH,Investor-owned Company,Cement,27.5,Million Tonnes CO2,19.2611375,27.5
2020,CRH,Investor-owned Company,Cement,24.2,Million Tonnes CO2,17.0065258,24.2
2021,CRH,Investor-owned Company,Cement,24.9,Million Tonnes CO2,17.5571892,24.9
2022,CRH,Investor-owned Company,Cement,22.9,Million Tonnes CO2,16.1469732,22.9
1969,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,10.23360973,Million tonnes/yr,24.2478035,10.23360973
1970,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,13.0878817,Million tonnes/yr,31.01079602,13.0878817
1971,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,12.10129638,Million tonnes/yr,28.67315293,12.10129638
1972,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,14.86011068,Million tonnes/yr,35.20996534,14.86011068
1973,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,15.11163205,Million tonnes/yr,35.80592715,15.11163205
1974,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,18.09749706,Million tonnes/yr,42.88071991,18.09749706
1975,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,19.81302277,Million tonnes/yr,46.94553493,19.81302277
1976,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,21.93958088,Million tonnes/yr,51.98426169,21.93958088
1977,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,25.51679307,Million tonnes/yr,60.46020914,25.51679307
1978,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,27.02284769,Million tonnes/yr,64.02869742,27.02284769
1979,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,31.35210016,Million tonnes/yr,74.28655032,31.35210016
1980,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,36.78405607,Million tonnes/yr,87.15717985,36.78405607
1981,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,32.17242312,Million tonnes/yr,76.23024668,32.17242312
1982,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,35.3184233,Million tonnes/yr,83.68446824,35.3184233
1983,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,36.30249026,Million tonnes/yr,86.01614422,36.30249026
1984,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,37.5162542,Million tonnes/yr,88.89207075,37.5162542
1985,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,34.70958905,Million tonnes/yr,82.24187918,34.70958905
1986,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,32.1333793,Million tonnes/yr,76.13773516,32.1333793
1987,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,44.75770844,Million tonnes/yr,106.0501766,44.75770844
1988,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,45.51029666,Million tonnes/yr,107.8333804,45.51029666
1989,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,47.71840698,Million tonnes/yr,113.0653393,47.71840698
1990,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,54.61308175,Million tonnes/yr,129.4017761,54.61308175
1991,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,55.88315342,Million tonnes/yr,132.4111197,55.88315342
1992,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,54.25020413,Million tonnes/yr,128.5419636,54.25020413
1993,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,24.40351992,Million tonnes/yr,57.82238833,24.40351992
1994,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,69.11457862,Million tonnes/yr,163.7620318,69.11457862
1995,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,68.97214916,Million tonnes/yr,163.4245554,68.97214916
1996,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,67.80186883,Million tonnes/yr,160.6516602,67.80186883
1997,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,73.67957908,Million tonnes/yr,174.5784726,73.67957908
1998,Cyprus AMAX Minerals,Investor-owned Company,Thermal Coal,23.40107049,Million tonnes/yr,55.44715639,23.40107049
1993,Czech Republic,Nation State,Lignite Coal,70.28334712,Million tonnes/yr,94.12416951,70.28334712
1993,Czech Republic,Nation State,Bituminous Coal,7.022243547,Million tonnes/yr,19.05934526,7.022243547
1993,Czech Republic,Nation State,Metallurgical Coal,7.934178025,Million tonnes/yr,23.53766801,7.934178025
1994,Czech Republic,Nation State,Lignite Coal,63.44375065,Million tonnes/yr,84.96451272,63.44375065
1994,Czech Republic,Nation State,Bituminous Coal,6.338876659,Million tonnes/yr,17.20459252,6.338876659
1994,Czech Republic,Nation State,Metallurgical Coal,7.162066589,Million tonnes/yr,21.24710904,7.162066589
1995,Czech Republic,Nation State,Lignite Coal,61.75920627,Million tonnes/yr,82.70855384,61.75920627
1995,Czech Republic,Nation State,Bituminous Coal,6.170568213,Million tonnes/yr,16.74778,6.170568213
1995,Czech Republic,Nation State,Metallurgical Coal,6.971900988,Million tonnes/yr,20.68296052,6.971900988
1996,Czech Republic,Nation State,Lignite Coal,63.60948409,Million tonnes/yr,85.18646462,63.60948409
1996,Czech Republic,Nation State,Bituminous Coal,6.355435639,Million tonnes/yr,17.2495359,6.355435639
1996,Czech Republic,Nation State,Metallurgical Coal,7.180775979,Million tonnes/yr,21.30261264,7.180775979
1997,Czech Republic,Nation State,Lignite Coal,61.0294844,Million tonnes/yr,81.73130293,61.0294844
1997,Czech Republic,Nation State,Bituminous Coal,6.097659268,Million tonnes/yr,16.54989499,6.097659268
1997,Czech Republic,Nation State,Metallurgical Coal,6.889523818,Million tonnes/yr,20.438579,6.889523818
1998,Czech Republic,Nation State,Lignite Coal,55.68066435,Million tonnes/yr,74.56810901,55.68066435
1998,Czech Republic,Nation State,Bituminous Coal,5.563240823,Million tonnes/yr,15.09940903,5.563240823
1998,Czech Republic,Nation State,Metallurgical Coal,6.285703819,Million tonnes/yr,18.64727628,6.285703819
1999,Czech Republic,Nation State,Lignite Coal,48.75778887,Million tonnes/yr,65.29692413,48.75778887
1999,Czech Republic,Nation State,Bituminous Coal,4.871553252,Million tonnes/yr,13.2220728,4.871553252
1999,Czech Republic,Nation State,Metallurgical Coal,5.504191146,Million tonnes/yr,16.32882744,5.504191146
2000,Czech Republic,Nation State,Lignite Coal,53.72896755,Million tonnes/yr,71.95437692,53.72896755
2000,Czech Republic,Nation State,Bituminous Coal,5.368240289,Million tonnes/yr,14.57015047,5.368240289
2000,Czech Republic,Nation State,Metallurgical Coal,6.065379796,Million tonnes/yr,17.99365927,6.065379796
2001,Czech Republic,Nation State,Lignite Coal,54.50733755,Million tonnes/yr,72.99677789,54.50733755
2001,Czech Republic,Nation State,Bituminous Coal,5.44600983,Million tonnes/yr,14.78122782,5.44600983
2001,Czech Republic,Nation State,Metallurgical Coal,6.153248777,Million tonnes/yr,18.25433289,6.153248777
2002,Czech Republic,Nation State,Lignite Coal,52.23984022,Million tonnes/yr,69.96012252,52.23984022
2002,Czech Republic,Nation State,Bituminous Coal,5.219456612,Million tonnes/yr,14.16633089,5.219456612
2002,Czech Republic,Nation State,Metallurgical Coal,5.897274522,Million tonnes/yr,17.4949553,5.897274522
2003,Czech Republic,Nation State,Lignite Coal,52.69333969,Million tonnes/yr,70.5674536,52.69333969
2003,Czech Republic,Nation State,Bituminous Coal,5.264767256,Million tonnes/yr,14.28931027,5.264767256
2003,Czech Republic,Nation State,Metallurgical Coal,5.948469372,Million tonnes/yr,17.64683082,5.948469372
2004,Czech Republic,Nation State,Lignite Coal,52.83351224,Million tonnes/yr,70.75517411,52.83351224
2004,Czech Republic,Nation State,Bituminous Coal,5.278772364,Million tonnes/yr,14.32732208,5.278772364
2004,Czech Republic,Nation State,Metallurgical Coal,5.964293236,Million tonnes/yr,17.69377416,5.964293236
2005,Czech Republic,Nation State,Lignite Coal,51.14319606,Million tonnes/yr,68.49148557,51.14319606
2005,Czech Republic,Nation State,Bituminous Coal,5.109887238,Million tonnes/yr,13.86894437,5.109887238
2005,Czech Republic,Nation State,Metallurgical Coal,5.773476063,Million tonnes/yr,17.12769268,5.773476063
2006,Czech Republic,Nation State,Lignite Coal,51.86632157,Million tonnes/yr,69.45990257,51.86632157
2006,Czech Republic,Nation State,Bituminous Coal,5.182137118,Million tonnes/yr,14.06504059,5.182137118
2006,Czech Republic,Nation State,Metallurgical Coal,5.855108581,Million tonnes/yr,17.3698651,5.855108581
2007,Czech Republic,Nation State,Lignite Coal,51.63792275,Million tonnes/yr,69.15402856,51.63792275
2007,Czech Republic,Nation State,Bituminous Coal,5.159317031,Million tonnes/yr,14.0031037,5.159317031
2007,Czech Republic,Nation State,Metallurgical Coal,5.829324992,Million tonnes/yr,17.29337506,5.829324992
2008,Czech Republic,Nation State,Lignite Coal,49.63757783,Million tonnes/yr,66.47514641,49.63757783
2008,Czech Republic,Nation State,Bituminous Coal,4.959455901,Million tonnes/yr,13.46065281,4.959455901
2008,Czech Republic,Nation State,Metallurgical Coal,5.603509158,Million tonnes/yr,16.62346595,5.603509158
2009,Czech Republic,Nation State,Lignite Coal,46.51832606,Million tonnes/yr,62.29781288,46.51832606
2009,Czech Republic,Nation State,Bituminous Coal,4.647801055,Million tonnes/yr,12.61477823,4.647801055
2009,Czech Republic,Nation State,Metallurgical Coal,5.251381663,Million tonnes/yr,15.57883851,5.251381663
2010,Czech Republic,Nation State,Lignite Coal,45.52227632,Million tonnes/yr,60.963893,45.52227632
2010,Czech Republic,Nation State,Bituminous Coal,4.548282406,Million tonnes/yr,12.34467078,4.548282406
2010,Czech Republic,Nation State,Metallurgical Coal,5.138939155,Million tonnes/yr,15.24526465,5.138939155
2011,Czech Republic,Nation State,Lignite Coal,47.87470173,Million tonnes/yr,64.1142849,47.87470173
2011,Czech Republic,Nation State,Bituminous Coal,4.783321072,Million tonnes/yr,12.9825984,4.783321072
2011,Czech Republic,Nation State,Metallurgical Coal,5.40450081,Million tonnes/yr,16.03308439,5.40450081
2012,Czech Republic,Nation State,Lignite Coal,46.05245842,Million tonnes/yr,61.67391823,46.05245842
2012,Czech Republic,Nation State,Bituminous Coal,4.601254668,Million tonnes/yr,12.48844486,4.601254668
2012,Czech Republic,Nation State,Metallurgical Coal,5.198790589,Million tonnes/yr,15.42282094,5.198790589
2013,Czech Republic,Nation State,Lignite Coal,40.3853642,Million tonnes/yr,54.08448831,40.3853642
2013,Czech Republic,Nation State,Bituminous Coal,4.035036388,Million tonnes/yr,10.95164973,4.035036388
2013,Czech Republic,Nation State,Metallurgical Coal,4.559041114,Million tonnes/yr,13.52492922,4.559041114
2014,Czech Republic,Nation State,Lignite Coal,38.17734429,Million tonnes/yr,51.1274857,38.17734429
2014,Czech Republic,Nation State,Bituminous Coal,4.090036884,Million tonnes/yr,11.10092873,4.090036884
2014,Czech Republic,Nation State,Metallurgical Coal,4.590041393,Million tonnes/yr,13.61689518,4.590041393
2015,Czech Republic,Nation State,Lignite Coal,38.10534364,Million tonnes/yr,51.03106171,38.10534364
2015,Czech Republic,Nation State,Bituminous Coal,4.226038111,Million tonnes/yr,11.47005496,4.226038111
2015,Czech Republic,Nation State,Metallurgical Coal,4.088036866,Million tonnes/yr,12.12763997,4.088036866
2016,Czech Republic,Nation State,Lignite Coal,38.52839324,Million tonnes/yr,51.59761401,38.52839324
2016,Czech Republic,Nation State,Bituminous Coal,3.401034712,Million tonnes/yr,9.230881042,3.401034712
2016,Czech Republic,Nation State,Metallurgical Coal,3.384034539,Million tonnes/yr,10.03913465,3.384034539
2017,Czech Republic,Nation State,Lignite Coal,39.30634147,Million tonnes/yr,52.63945015,39.30634147
2017,Czech Republic,Nation State,Bituminous Coal,2.502835571,Million tonnes/yr,6.793043699,2.502835571
2017,Czech Republic,Nation State,Metallurgical Coal,2.912559265,Million tonnes/yr,8.640448051,2.912559265
2018,Czech Republic,Nation State,Lignite Coal,39.19095343,Million tonnes/yr,52.48492132,39.19095343
2018,Czech Republic,Nation State,Bituminous Coal,2.141457312,Million tonnes/yr,5.812212864,2.141457312
2018,Czech Republic,Nation State,Metallurgical Coal,2.239630197,Million tonnes/yr,6.644125186,2.239630197
2019,Czech Republic,Nation State,Lignite Coal,37.47156093,Million tonnes/yr,50.18229349,37.47156093
2019,Czech Republic,Nation State,Bituminous Coal,1.399746623,Million tonnes/yr,3.799106937,1.399746623
2019,Czech Republic,Nation State,Metallurgical Coal,2.032400328,Million tonnes/yr,6.029353518,2.032400328
2020,Czech Republic,Nation State,Lignite Coal,29.43318543,Million tonnes/yr,39.41721971,29.43318543
2020,Czech Republic,Nation State,Bituminous Coal,1.120263102,Million tonnes/yr,3.040549805,1.120263102
2020,Czech Republic,Nation State,Metallurgical Coal,1.025176245,Million tonnes/yr,3.041305355,1.025176245
2021,Czech Republic,Nation State,Lignite Coal,29.27965004,Million tonnes/yr,39.21160356,29.27965004
2021,Czech Republic,Nation State,Bituminous Coal,0.6781281154,Million tonnes/yr,1.840533983,0.6781281154
2021,Czech Republic,Nation State,Metallurgical Coal,1.500769534,Million tonnes/yr,4.452208526,1.500769534
2022,Czech Republic,Nation State,Lignite Coal,32.76196001,Million tonnes/yr,43.87514829,32.76196001
2022,Czech Republic,Nation State,Bituminous Coal,0.758779772,Million tonnes/yr,2.059433792,0.758779772
2022,Czech Republic,Nation State,Metallurgical Coal,1.679260216,Million tonnes/yr,4.981722032,1.679260216
1938,Czechoslovakia,Nation State,Lignite Coal,16.15531162,Million tonnes/yr,21.63535677,16.15531162
1938,Czechoslovakia,Nation State,Bituminous Coal,16.03236869,Million tonnes/yr,43.51407754,16.03236869
1939,Czechoslovakia,Nation State,Lignite Coal,16.37203665,Million tonnes/yr,21.92559712,16.37203665
1939,Czechoslovakia,Nation State,Bituminous Coal,14.67268076,Million tonnes/yr,39.82369547,14.67268076
1940,Czechoslovakia,Nation State,Lignite Coal,16.58876168,Million tonnes/yr,22.21583747,16.58876168
1940,Czechoslovakia,Nation State,Bituminous Coal,13.31299284,Million tonnes/yr,36.13331341,13.31299284
1941,Czechoslovakia,Nation State,Lignite Coal,16.80548671,Million tonnes/yr,22.50607783,16.80548671
1941,Czechoslovakia,Nation State,Bituminous Coal,11.95330491,Million tonnes/yr,32.44293135,11.95330491
1942,Czechoslovakia,Nation State,Lignite Coal,17.02221174,Million tonnes/yr,22.79631818,17.02221174
1942,Czechoslovakia,Nation State,Bituminous Coal,10.59361698,Million tonnes/yr,28.75254929,10.59361698
1943,Czechoslovakia,Nation State,Lignite Coal,17.23893677,Million tonnes/yr,23.08655853,17.23893677
1943,Czechoslovakia,Nation State,Bituminous Coal,9.233929059,Million tonnes/yr,25.06216723,9.233929059
1944,Czechoslovakia,Nation State,Lignite Coal,17.4556618,Million tonnes/yr,23.37679888,17.4556618
1944,Czechoslovakia,Nation State,Bituminous Coal,7.874241134,Million tonnes/yr,21.37178516,7.874241134
1945,Czechoslovakia,Nation State,Lignite Coal,17.67238683,Million tonnes/yr,23.66703923,17.67238683
1945,Czechoslovakia,Nation State,Bituminous Coal,6.514553208,Million tonnes/yr,17.6814031,6.514553208
1946,Czechoslovakia,Nation State,Lignite Coal,17.88911186,Million tonnes/yr,23.95727959,17.88911186
1946,Czechoslovakia,Nation State,Bituminous Coal,5.154865283,Million tonnes/yr,13.99102104,5.154865283
1947,Czechoslovakia,Nation State,Lignite Coal,18.10583689,Million tonnes/yr,24.24751994,18.10583689
1947,Czechoslovakia,Nation State,Bituminous Coal,3.795177357,Million tonnes/yr,10.30063898,3.795177357
1948,Czechoslovakia,Nation State,Lignite Coal,18.32256192,Million tonnes/yr,24.53776029,18.32256192
1948,Czechoslovakia,Nation State,Bituminous Coal,2.435489432,Million tonnes/yr,6.610256915,2.435489432
1949,Czechoslovakia,Nation State,Lignite Coal,17.55442257,Million tonnes/yr,23.50906031,17.55442257
1949,Czechoslovakia,Nation State,Bituminous Coal,2.738274518,Million tonnes/yr,7.432057733,2.738274518
1950,Czechoslovakia,Nation State,Lignite Coal,19.05310714,Million tonnes/yr,25.51611385,19.05310714
1950,Czechoslovakia,Nation State,Bituminous Coal,2.839880251,Million tonnes/yr,7.707829819,2.839880251
1951,Czechoslovakia,Nation State,Lignite Coal,22.98813028,Million tonnes/yr,30.78593664,22.98813028
1951,Czechoslovakia,Nation State,Bituminous Coal,5.17732015,Million tonnes/yr,14.05196667,5.17732015
1952,Czechoslovakia,Nation State,Lignite Coal,26.92315341,Million tonnes/yr,36.05575943,26.92315341
1952,Czechoslovakia,Nation State,Bituminous Coal,7.514760049,Million tonnes/yr,20.39610352,7.514760049
1953,Czechoslovakia,Nation State,Lignite Coal,30.85817655,Million tonnes/yr,41.32558222,30.85817655
1953,Czechoslovakia,Nation State,Bituminous Coal,9.852199948,Million tonnes/yr,26.74024037,9.852199948
1954,Czechoslovakia,Nation State,Lignite Coal,34.79319968,Million tonnes/yr,46.59540501,34.79319968
1954,Czechoslovakia,Nation State,Bituminous Coal,12.18963985,Million tonnes/yr,33.08437722,12.18963985
1955,Czechoslovakia,Nation State,Lignite Coal,38.72822282,Million tonnes/yr,51.8652278,38.72822282
1955,Czechoslovakia,Nation State,Bituminous Coal,14.52707975,Million tonnes/yr,39.42851407,14.52707975
1956,Czechoslovakia,Nation State,Lignite Coal,42.66324595,Million tonnes/yr,57.1350506,42.66324595
1956,Czechoslovakia,Nation State,Bituminous Coal,16.86451964,Million tonnes/yr,45.77265093,16.86451964
1957,Czechoslovakia,Nation State,Lignite Coal,46.59826908,Million tonnes/yr,62.40487339,46.59826908
1957,Czechoslovakia,Nation State,Bituminous Coal,19.20195954,Million tonnes/yr,52.11678778,19.20195954
1958,Czechoslovakia,Nation State,Lignite Coal,50.53329222,Million tonnes/yr,67.67469618,50.53329222
1958,Czechoslovakia,Nation State,Bituminous Coal,21.53939944,Million tonnes/yr,58.46092463,21.53939944
1959,Czechoslovakia,Nation State,Lignite Coal,54.46831535,Million tonnes/yr,72.94451897,54.46831535
1959,Czechoslovakia,Nation State,Bituminous Coal,23.87683934,Million tonnes/yr,64.80506148,23.87683934
1960,Czechoslovakia,Nation State,Lignite Coal,58.40333849,Million tonnes/yr,78.21434176,58.40333849
1960,Czechoslovakia,Nation State,Bituminous Coal,26.21427924,Million tonnes/yr,71.14919833,26.21427924
1961,Czechoslovakia,Nation State,Lignite Coal,65.30345642,Million tonnes/yr,87.45504951,65.30345642
1961,Czechoslovakia,Nation State,Bituminous Coal,26.23333031,Million tonnes/yr,71.2009056,26.23333031
1962,Czechoslovakia,Nation State,Lignite Coal,69.48562099,Million tonnes/yr,93.05584661,69.48562099
1962,Czechoslovakia,Nation State,Bituminous Coal,27.1495963,Million tonnes/yr,73.68777888,27.1495963
1963,Czechoslovakia,Nation State,Lignite Coal,73.30400074,Million tonnes/yr,98.1694594,73.30400074
1963,Czechoslovakia,Nation State,Bituminous Coal,28.29628958,Million tonnes/yr,76.80006385,28.29628958
1964,Czechoslovakia,Nation State,Lignite Coal,75.60555204,Million tonnes/yr,101.2517202,75.60555204
1964,Czechoslovakia,Nation State,Bituminous Coal,28.2019414,Million tonnes/yr,76.54398977,28.2019414
1965,Czechoslovakia,Nation State,Lignite Coal,73.21691011,Million tonnes/yr,98.05282675,73.21691011
1965,Czechoslovakia,Nation State,Bituminous Coal,27.62405879,Million tonnes/yr,74.97553603,27.62405879
1966,Czechoslovakia,Nation State,Lignite Coal,74.10868186,Million tonnes/yr,99.2470965,74.10868186
1966,Czechoslovakia,Nation State,Bituminous Coal,26.73137985,Million tonnes/yr,72.55268127,26.73137985
1967,Czechoslovakia,Nation State,Lignite Coal,71.36260548,Million tonnes/yr,95.56952322,71.36260548
1967,Czechoslovakia,Nation State,Bituminous Coal,25.946657,Million tonnes/yr,70.42283435,25.946657
1968,Czechoslovakia,Nation State,Lignite Coal,74.39535518,Million tonnes/yr,99.63101231,74.39535518
1968,Czechoslovakia,Nation State,Bituminous Coal,26.0981584,Million tonnes/yr,70.83403023,26.0981584
1969,Czechoslovakia,Nation State,Lignite Coal,79.33774836,Million tonnes/yr,106.2499153,79.33774836
1969,Czechoslovakia,Nation State,Bituminous Coal,27.06794884,Million tonnes/yr,73.46617631,27.06794884
1970,Czechoslovakia,Nation State,Lignite Coal,81.78354352,Million tonnes/yr,109.5253489,81.78354352
1970,Czechoslovakia,Nation State,Bituminous Coal,28.05316158,Million tonnes/yr,76.14018065,28.05316158
1971,Czechoslovakia,Nation State,Lignite Coal,84.301007,Million tonnes/yr,112.8967614,84.301007
1971,Czechoslovakia,Nation State,Bituminous Coal,28.69999093,Million tonnes/yr,77.89576545,28.69999093
1972,Czechoslovakia,Nation State,Lignite Coal,78.81938976,Million tonnes/yr,105.5557242,78.81938976
1972,Czechoslovakia,Nation State,Bituminous Coal,29.20720194,Million tonnes/yr,79.27240663,29.20720194
1973,Czechoslovakia,Nation State,Lignite Coal,79.55099708,Million tonnes/yr,106.5355001,79.55099708
1973,Czechoslovakia,Nation State,Bituminous Coal,29.47830531,Million tonnes/yr,80.00821888,29.47830531
1974,Czechoslovakia,Nation State,Lignite Coal,80.75502147,Million tonnes/yr,108.1479417,80.75502147
1974,Czechoslovakia,Nation State,Bituminous Coal,29.92446689,Million tonnes/yr,81.21916344,29.92446689
1975,Czechoslovakia,Nation State,Lignite Coal,83.97391681,Million tonnes/yr,112.4587189,83.97391681
1975,Czechoslovakia,Nation State,Bituminous Coal,31.11725622,Million tonnes/yr,84.45655949,31.11725622
1976,Czechoslovakia,Nation State,Lignite Coal,85.9053864,Million tonnes/yr,115.0453626,85.9053864
1976,Czechoslovakia,Nation State,Bituminous Coal,31.83297886,Million tonnes/yr,86.39913025,31.83297886
1977,Czechoslovakia,Nation State,Lignite Coal,88.41073677,Million tonnes/yr,118.4005531,88.41073677
1977,Czechoslovakia,Nation State,Bituminous Coal,32.76135797,Million tonnes/yr,88.91888021,32.76135797
1978,Czechoslovakia,Nation State,Lignite Coal,90.14495553,Million tonnes/yr,120.7230364,90.14495553
1978,Czechoslovakia,Nation State,Bituminous Coal,33.40398761,Million tonnes/yr,90.66306642,33.40398761
1979,Czechoslovakia,Nation State,Lignite Coal,90.76848002,Million tonnes/yr,121.5580667,90.76848002
1979,Czechoslovakia,Nation State,Bituminous Coal,33.63503996,Million tonnes/yr,91.2901746,33.63503996
1980,Czechoslovakia,Nation State,Lignite Coal,3.77603891,Million tonnes/yr,5.056909511,3.77603891
1980,Czechoslovakia,Nation State,Bituminous Coal,120.7312442,Million tonnes/yr,327.6813814,120.7312442
1980,Czechoslovakia,Nation State,Metallurgical Coal,10.32310638,Million tonnes/yr,30.62470366,10.32310638
1981,Czechoslovakia,Nation State,Lignite Coal,3.104031988,Million tonnes/yr,4.156951042,3.104031988
1981,Czechoslovakia,Nation State,Bituminous Coal,119.1362277,Million tonnes/yr,323.3522851,119.1362277
1981,Czechoslovakia,Nation State,Metallurgical Coal,10.3241064,Million tonnes/yr,30.62767033,10.3241064
1982,Czechoslovakia,Nation State,Lignite Coal,3.677037894,Million tonnes/yr,4.924326348,3.677037894
1982,Czechoslovakia,Nation State,Bituminous Coal,120.7412443,Million tonnes/yr,327.7085233,120.7412443
1982,Czechoslovakia,Nation State,Metallurgical Coal,10.56610888,Million tonnes/yr,31.34559904,10.56610888
1983,Czechoslovakia,Nation State,Lignite Coal,4.907050568,Million tonnes/yr,6.571571765,4.907050568
1983,Czechoslovakia,Nation State,Bituminous Coal,123.5112728,Million tonnes/yr,335.2267657,123.5112728
1983,Czechoslovakia,Nation State,Metallurgical Coal,10.34010656,Million tonnes/yr,30.67513669,10.34010656
1984,Czechoslovakia,Nation State,Lignite Coal,5.898560783,Million tonnes/yr,7.899412276,5.898560783
1984,Czechoslovakia,Nation State,Bituminous Coal,125.3142914,Million tonnes/yr,340.1204089,125.3142914
1984,Czechoslovakia,Nation State,Metallurgical Coal,10.30310618,Million tonnes/yr,30.56537073,10.30310618
1985,Czechoslovakia,Nation State,Lignite Coal,3.551036597,Million tonnes/yr,4.755584136,3.551036597
1985,Czechoslovakia,Nation State,Bituminous Coal,124.8572867,Million tonnes/yr,338.8800345,124.8572867
1985,Czechoslovakia,Nation State,Metallurgical Coal,10.2371055,Million tonnes/yr,30.36957198,10.2371055
1986,Czechoslovakia,Nation State,Lignite Coal,3.19703295,Million tonnes/yr,4.281498871,3.19703295
1986,Czechoslovakia,Nation State,Bituminous Coal,124.789286,Million tonnes/yr,338.6954711,124.789286
1986,Czechoslovakia,Nation State,Metallurgical Coal,10.09110399,Million tonnes/yr,29.93644142,10.09110399
1987,Czechoslovakia,Nation State,Lignite Coal,3.682037949,Million tonnes/yr,4.931022472,3.682037949
1987,Czechoslovakia,Nation State,Bituminous Coal,124.0842787,Million tonnes/yr,336.7819834,124.0842787
1987,Czechoslovakia,Nation State,Metallurgical Coal,10.58610909,Million tonnes/yr,31.404932,10.58610909
1988,Czechoslovakia,Nation State,Lignite Coal,3.607037169,Million tonnes/yr,4.830580668,3.607037169
1988,Czechoslovakia,Nation State,Bituminous Coal,121.8652559,Million tonnes/yr,330.7592469,121.8652559
1988,Czechoslovakia,Nation State,Metallurgical Coal,10.58610909,Million tonnes/yr,31.404932,10.58610909
1989,Czechoslovakia,Nation State,Lignite Coal,3.639037504,Million tonnes/yr,4.873435841,3.639037504
1989,Czechoslovakia,Nation State,Bituminous Coal,115.9861953,Million tonnes/yr,314.802659,115.9861953
1989,Czechoslovakia,Nation State,Metallurgical Coal,10.14710457,Million tonnes/yr,30.1025737,10.14710457
1990,Czechoslovakia,Nation State,Lignite Coal,3.304644054,Million tonnes/yr,4.42561275,3.304644054
1990,Czechoslovakia,Nation State,Bituminous Coal,103.2820643,Million tonnes/yr,280.3218815,103.2820643
1990,Czechoslovakia,Nation State,Metallurgical Coal,9.465097544,Million tonnes/yr,28.07932,9.465097544
